Length of path: 1927.3137081386606
-79.561752 8.362277 -> -76.084521 24.721360
-76.084521 24.721360 -> -69.282032 40.000000
-69.282032 40.000000 -> -59.451586 53.530449
-59.451586 53.530449 -> -47.022820 64.721360
-47.022820 64.721360 -> -32.538931 73.083637
-32.538931 73.083637 -> -16.632935 78.251808
-16.632935 78.251808 -> 0.000000 80.000000
0.000000 80.000000 -> 16.632935 78.251808
16.632935 78.251808 -> 23.915479 75.278640
23.915479 75.278640 -> 32.538931 73.083637
32.538931 73.083637 -> 47.022820 64.721360
47.022820 64.721360 -> 52.977180 64.721360
52.977180 64.721360 -> 67.461069 73.083637
67.461069 73.083637 -> 83.367065 78.251808
83.367065 78.251808 -> 100.000000 80.000000
100.000000 80.000000 -> 116.632935 78.251808
116.632935 78.251808 -> 132.538931 73.083637
132.538931 73.083637 -> 147.022820 64.721360
147.022820 64.721360 -> 159.451586 53.530449
159.451586 53.530449 -> 159.451586 46.469551
159.451586 46.469551 -> 169.282032 40.000000
169.282032 40.000000 -> 176.084521 24.721360
176.084521 24.721360 -> 179.561752 8.362277
179.561752 8.362277 -> 179.561752 -8.362277
179.561752 -8.362277 -> 176.084521 -24.721360
176.084521 -24.721360 -> 169.282032 -40.000000
169.282032 -40.000000 -> 159.451586 -53.530449
159.451586 -53.530449 -> 147.022820 -64.721360
147.022820 -64.721360 -> 132.538931 -73.083637
132.538931 -73.083637 -> 116.632935 -78.251808
116.632935 -78.251808 -> 100.000000 -80.000000
100.000000 -80.000000 -> 83.367065 -78.251808
83.367065 -78.251808 -> 67.461069 -73.083637
67.461069 -73.083637 -> 52.977180 -64.721360
52.977180 -64.721360 -> 40.548414 -53.530449
40.548414 -53.530449 -> 30.717968 -40.000000
30.717968 -40.000000 -> 23.915479 -24.721360
23.915479 -24.721360 -> 20.438248 -8.362277
20.438248 -8.362277 -> 20.438248 8.362277
20.438248 8.362277 -> 23.915479 24.721360
23.915479 24.721360 -> 32.538931 26.916363
32.538931 26.916363 -> 47.022820 35.278640
47.022820 35.278640 -> 52.977180 35.278640
52.977180 35.278640 -> 59.451586 46.469551
59.451586 46.469551 -> 59.451586 53.530449
59.451586 53.530449 -> 69.282032 60.000000
69.282032 60.000000 -> 76.084521 75.278640
76.084521 75.278640 -> 79.561752 91.637723
79.561752 91.637723 -> 79.561752 108.362277
79.561752 108.362277 -> 76.084521 124.721360
76.084521 124.721360 -> 69.282032 140.000000
69.282032 140.000000 -> 59.451586 153.530449
59.451586 153.530449 -> 47.022820 164.721360
47.022820 164.721360 -> 32.538931 173.083637
32.538931 173.083637 -> 16.632935 178.251808
16.632935 178.251808 -> 0.000000 180.000000
0.000000 180.000000 -> -16.632935 178.251808
-16.632935 178.251808 -> -32.538931 173.083637
-32.538931 173.083637 -> -47.022820 164.721360
-47.022820 164.721360 -> -59.451586 153.530449
-59.451586 153.530449 -> -69.282032 140.000000
-69.282032 140.000000 -> -76.084521 124.721360
-76.084521 124.721360 -> -79.561752 108.362277
-79.561752 108.362277 -> -79.561752 91.637723
-79.561752 91.637723 -> -76.084521 75.278640
-76.084521 75.278640 -> -69.282032 60.000000
-69.282032 60.000000 -> -59.451586 46.469551
-59.451586 46.469551 -> -47.022820 35.278640
-47.022820 35.278640 -> -32.538931 26.916363
-32.538931 26.916363 -> -16.632935 21.748192
-16.632935 21.748192 -> 0.000000 20.000000
0.000000 20.000000 -> 16.632935 21.748192
16.632935 21.748192 -> 30.717968 40.000000
30.717968 40.000000 -> 40.548414 46.469551
40.548414 46.469551 -> 40.548414 53.530449
40.548414 53.530449 -> 30.717968 60.000000
30.717968 60.000000 -> 20.438248 91.637723
20.438248 91.637723 -> 20.438248 108.362277
20.438248 108.362277 -> 23.915479 124.721360
23.915479 124.721360 -> 30.717968 140.000000
30.717968 140.000000 -> 40.548414 153.530449
40.548414 153.530449 -> 52.977180 164.721360
52.977180 164.721360 -> 67.461069 173.083637
67.461069 173.083637 -> 83.367065 178.251808
83.367065 178.251808 -> 100.000000 180.000000
100.000000 180.000000 -> 116.632935 178.251808
116.632935 178.251808 -> 132.538931 173.083637
132.538931 173.083637 -> 147.022820 164.721360
147.022820 164.721360 -> 159.451586 153.530449
159.451586 153.530449 -> 169.282032 140.000000
169.282032 140.000000 -> 176.084521 124.721360
176.084521 124.721360 -> 179.561752 108.362277
179.561752 108.362277 -> 179.561752 91.637723
179.561752 91.637723 -> 176.084521 75.278640
176.084521 75.278640 -> 169.282032 60.000000
169.282032 60.000000 -> 147.022820 35.278640
147.022820 35.278640 -> 132.538931 26.916363
132.538931 26.916363 -> 116.632935 21.748192
116.632935 21.748192 -> 100.000000 20.000000
100.000000 20.000000 -> 83.367065 21.748192
83.367065 21.748192 -> 76.084521 24.721360
76.084521 24.721360 -> 67.461069 26.916363
67.461069 26.916363 -> 69.282032 40.000000
69.282032 40.000000 -> 79.561752 8.362277
79.561752 8.362277 -> 79.561752 -8.362277
79.561752 -8.362277 -> 76.084521 -24.721360
76.084521 -24.721360 -> 69.282032 -40.000000
69.282032 -40.000000 -> 59.451586 -53.530449
59.451586 -53.530449 -> 47.022820 -64.721360
47.022820 -64.721360 -> 32.538931 -73.083637
32.538931 -73.083637 -> 16.632935 -78.251808
16.632935 -78.251808 -> 0.000000 -80.000000
0.000000 -80.000000 -> -16.632935 -78.251808
-16.632935 -78.251808 -> -32.538931 -73.083637
-32.538931 -73.083637 -> -47.022820 -64.721360
-47.022820 -64.721360 -> -59.451586 -53.530449
-59.451586 -53.530449 -> -69.282032 -40.000000
-69.282032 -40.000000 -> -76.084521 -24.721360
-76.084521 -24.721360 -> -79.561752 -8.362277
